S1,C2,S3,S4
MYH10,CDH23,ARC,
GLRB,CACNA1C,OBSCN,
TSHZ3,SLC2A2,ADARB2,
FOXE1,SKI,BRSK2,
SLCO4C1,PKP3,BFAR,
GAD1,PM20D1,KIAA1908,
EPHA6,FAM46C,WDR1,
CUGBP2,CUBN,MFI2,
ZNF141,TNFSF12,PYCR2,
GJA3,9-Sep,NANOS3,
OBSL1,TBC1D16,PTPRN2,
IGFBP7,DUSP27,IL20RB,
SH3GL3,WDR8,PTP4A3,
ZNF671,AP2A2,DOCK1,
PTCHD2,PRKAG2,HOOK2,
KCNB1,SCOC,WSCD1,
KCNN2,ADAP1,SIK1,
PPP1R16B,NFKBIZ,ZNF251,
C5orf49,CYTH3,TTC15,
ZNF695,CANT1,SLC4A10,
FAM159B,INPP5A,MYADM,
INS-IGF2,TSPAN4,TIAM2,
C4orf39,INPP5A,PTPRN2,
UNC80,TNFRSF21,GALNT9,
REM1,LRRC56,ANKRD11,
MAPT,SORBS2,EPHA2,
PRDM5,MASP1,ELAVL3,
DBX2,BDH1,SEMA6B,
FSD1,DENND3,KCTD5,
CTNND2,FBLN2,LRTM2,
GPR133,C10orf81,BRCA1,
D4S234E,CCDC57,METRNL,
ITGA11,CTNND1,BAIAP2L1,
BARHL1,FAT1,EPHX4,
COL5A1,WDR27,PRSS21,
GATA5,RER1,ZFAT,
KCNK12,TCIRG1,OR10G2,
CRMP1,MIR1276,PDLIM7,
AVP,OPA3,LDHD,
RORB,PFKP,BTBD12,
AEBP1,TBC1D16,CCDC90B,
INSM2,CUX1,KIAA0182,
RPTOR,SYNPO,MPST,
SLFN11,ARHGEF10,CAPZB,
GAS1,ZCCHC24,LMF1,
GPR88,WDR8,CCDC154,
INS-IGF2,MAP3K13,PTDSS2,
HMX3,ZNF702P,MYEOV2,
GATA5,CLDN23,SIGLEC10,
KIF5C,AIRE,DOC2A,
LPPR5,ZFP41,RAB11FIP3,
NXPH3,TIAM1,PLEC1,
ADD2,KIAA0802,GNMT,
LOC157627,HEG1,FANCA,
TOX2,PMS2,GRIN3B,
TSPAN2,MMEL1,MUC6,
CSMD2,PUS1,KIAA0556,
LRRFIP1,TBC1D16,EGFL8,
TSPAN2,LRP5L,ELAVL3,
KCNB2,HCN2,ASPHD1,
MOS,CCDC42B,GNG7,
IGFBP3,ADAM8,LRRN2,
CD38,ITPK1,PRKCZ,
EBF1,SH3BP4,OBSCN,
EFCAB4B,ANO8,FUCA1,
FRY,PROZ,GRM6,
GPC5,TNK2,SYT7,
DNAH11,CCDC88B,CBFA2T3,
CDK5R2,SERPINF2,B4GALT7,
TTBK1,CCDC42B,SUGT1L1,
PCDH21,AP2A2,MIB2,
ZDHHC14,ZFP41,PDCD1,
PTPRS,PRDM16,ASPHD1,
GALNS,LLGL2,MUC4,
TRAPPC9,MUC5B,MYADM,
FBLN1,SCOC,FAM20B,
TFPI2,CAMTA1,HCCA2,
ACAN,UNC93B1,CHID1,
CAMK2B,BDH1,SMOC2,
DNM3,WDR69,UNC5A,
EMX2OS,TM4SF20,NIPA2,
CUX2,SLC6A6,AGPAT4,
HOXB13,C7orf50,CPNE7,
JAKMIP1,KSR1,FAM38A,
FLJ45983,RNF144A,KNDC1,
ABCB1,NLRP2,MGMT,
GFRA1,DDC,EEPD1,
IRF7,EHMT1,TAS1R3,
B4GALNT2,SSU72,TYRO3,
S1PR1,C9orf86,MYT1L,
LASS4,PBX1,CPNE7,
KCNB2,ANP32E,INPP5A,
ABCB1,NOSIP,SMG5,
KCNB2,TRAPPC9,PTPRN2,
SYT9,LOC100130872,RADIL,
GFRA1,CEACAM5,FLNC,
HMX3,SDCCAG8,PLEC1,
RCSD1,AP2A2,PREX1,
IGFBP7,TNFRSF21,SPG7,
RSPO3,TNK2,LOC650623,
HMX3,DNAJC17,AGAP1,
CADM1,NEDD4L,HN1L,
OPRD1,PSMD5,PDCD1,
